"","count_perceptionPretestResponse","percepPretestA","percepPretestB","response_perceptionPretestResponse","subject_nr","audio","title","prepost","count_perceptionPostTestResponse","perceptionPostTestOptionA","perceptionPostTestOptionB","response_perceptionPostTestResponse","contrast","stepOnCon","BB","AF","responseV","count","pair"
"1",1,"pip","pep","A","1","pip-pep_continuumStep_3_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","3","NB","MN","I",1,"pip-pep"
"2",6,"kek","kik","A","1","kik-kek_continuumStep_7_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","7","NB","MN","E",6,"kik-kek"
"3",7,"sik","sec","E","1","sik-sec6.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","6","NB","MN","E",7,"sik-sec"
"4",12,"sik","sec","A","1","sik-sec5.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","5","NB","MN","I",12,"sik-sec"
"5",21,"kek","kik","E","1","kik-kek_continuumStep_1_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","1","NB","MN","I",21,"kik-kek"
"6",26,"kek","kik","E","1","kik-kek_continuumStep_2_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","2","NB","MN","I",26,"kik-kek"
"7",29,"sik","sec","A","1","sik-sec4.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","4","NB","MN","I",29,"sik-sec"
"8",30,"pip","pep","A","1","pip-pep_continuumStep_2_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","2","NB","MN","I",30,"pip-pep"
"9",31,"kek","kik","A","1","kik-kek_continuumStep_4_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","4","NB","MN","E",31,"kik-kek"
"10",34,"pip","pep","E","1","pip-pep_continuumStep_7_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","7","NB","MN","E",34,"pip-pep"
"11",35,"pip","pep","E","1","pip-pep_continuumStep_6_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","6","NB","MN","E",35,"pip-pep"
"12",39,"sik","sec","A","1","sik-sec3.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","3","NB","MN","I",39,"sik-sec"
"13",40,"kek","kik","A","1","kik-kek_continuumStep_5_stereo.wav","NB-MN-AF","pre",NA,NA,NA,NA,"IE","5","NB","MN","E",40,"kik-kek"
